follower,followed
4140,1567
1567,3892
1567,26394
26394,96349
4140,26394
26394,3892
26394,1567
26394,1181
118098,2639
118098,157
177967,1563
26394,17797
177967,2639
1567,23362
4140,23362
1558,23362
4140,7912
22390,7912
26394,7912
1567,7912
2556,7912
4567,7912
1567,171323
171323,157
1570,171323
5147,3352
33520,5147
34538,414
34538,2556
34538,9236
34538,157
34538,13256
34538,1563
4140,34538
34538,3892
8103,41811
8103,5147
91801,8103
8103,1558
8103,28905
8103,170892
4140,8103
5147,8103
8103,23362
8103,91801
8103,109311
8103,3892
8103,96349
34538,11149
11149,96349
11149,414
11149,3892
11149,41811
41811,11149
4140,11149
11149,13395
8103,11149
1570,135978
82366,1563
82366,2556
82366,11914
33520,8079
8079,91801
8079,34538
8079,3352
8079,41811
8079,45703
8079,233103
8079,3892
8079,11149
34538,8079
8079,1563
8079,13256
91801,8079
8079,157
8079,13395
5995,3892
158856,5995
11149,5995
2556,5995
33520,5995
4140,5995
1570,5995
21464,5995
24340,5995
11914,5995
41811,5995
22390,5995
2556,6891
11149,6891
4140,46399
46399,1563
46399,26394
46399,2556
2556,46399
26394,46399
46399,2239
22390,46399
46399,5995
11149,15382
11726,5995
11726,15886
2556,11726
11726,1563
170787,1173
158856,1173
11149,11726
11726,3892
16372,5995
11914,16372
16372,78115
16372,11914
1570,391
4140,391
2556,391
391,7912
2821814,117
2821814,157
17805,2556
2821814,6
2821814,924
17805,157
2821814,1
17805,5995
17805,11726
17805,10005
2821814,133
2821814,256
17805,9236
17805,1563
2821814,156
17805,13256
93226,10425
28328,157
1570,28328
28328,9236
78115,18625
4567,186247
186247,4567
186247,1563
186247,7812
81599,414
1570,81599
81599,157
81599,96349
81599,3892
62413,2192
158827,5995
158827,3892
158827,9635
52422,5995
52422,9236
52422,157
52422,10005
52422,2239
52422,13256
49035,10005
49035,1567
1567,49035
49035,1563
11149,6985
1567,6985
8079,6985
14963,1565
13256,1565
4140,1565
11914,1565
1565,13256
1565,11914
1565,9236
1565,414
1565,2556
8079,1565
1565,157
1565,1567
10005,1565
1570,1565
1565,1563
22390,1565
1565,10005
26394,1565
1567,1565
1565,2239
17642,13395
17642,31978
319779,1764
1567,17642
1570,17642
1567,9266
17805,9266
28106,9266
14963,9266
13798,9266
4140,9266
1570,9266
2821814,927
2556,9266
176616,3892
176616,157
176616,7812
176616,464
176616,6985
176616,2576
176616,1115
1570,7504
33520,7504
2556,7504
45703,7504
1567,7504
1570,21863
17805,21863
34538,21863
2821814,219
2556,21863
67072,46399
46399,67072
67072,1563
1567,67072
26394,67072
67072,9236
74090,7504
74090,45703
1570,61024
61024,69392
69392,61024
61024,157
21464,61024
81599,61024
61024,9266
11914,61024
78115,61024
1567,61024
2556,15347
15347,28106
4140,15347
11149,15347
15347,11149
14006,3892
2159,14006
14006,1565
28106,14006
14006,28106
36872,3892
36872,11726
36872,13411
21464,36872
134106,3687
2159,36872
28106,19859
91801,19859
4140,198591
47243,19859
33520,19859
198591,414
1558,198591
21464,19859
1567,198591
47106,157
47106,14963
47106,2159
47106,28106
4139,157
4139,91801
4139,414
2556,4139
4139,11914
391,1063
4140,1063
1063,78115
192828,1063
2556,1063
82366,1063
1063,37747
1063,26394
26394,1063
1063,233103
1063,21863
1063,169553
1063,4567
1570,1063
1063,4139
1063,5995
1063,10005
1063,7504
5995,1063
1063,3892
1063,13256
1063,2556
1063,391
1063,1565
1063,157
1063,1563
169553,1063
1063,9236
1063,36872
169553,1713
171312,1326
1570,171312
171312,1696
171312,157
143808,1563
143808,4139
143808,1326
143808,3775
143808,2331
143808,3892
143808,7912
143808,1001
143808,5097
143808,6985
143808,1341
143808,1538
143808,1191
143808,157
24533,157
24533,52402
91801,25253
25253,52422
25253,4139
50901,5995
50901,28106
50901,13411
50901,4567
50901,14006
50901,6985
166126,872
87195,16613
61024,87195
87195,61024
177967,872
62413,28464
1565,28464
49035,28464
8079,28464
1567,28464
13256,28464
2159,6324
4140,6324
158856,6324
8103,6324
21464,6072
6072,1567
6072,21464
6072,17805
6072,282181
6072,11914
69392,11855
11855,13395
1567,11855
166126,1186
11855,28106
158856,1186
2556,11855
28106,11855
4140,11855
16372,11855
152772,4567
152772,5995
47152,1565
47152,28464
47152,6985
233097,2331
233097,3454
143808,2331
14922,28506
13256,14922
14922,28464
1565,14922
96349,14922
4139,14922
14922,52402
14922,45703
14922,10005
14922,26394
14922,1558
1567,14922
14922,11914
14922,391
14922,61024
14922,15382
14922,157
14922,96349
4567,14922
14922,28106
14922,414
14922,13256
14922,2556
14922,1565
14922,13395
14922,21863
1570,14922
391,14922
14922,18625
14922,7912
14922,21464
14922,78115
14922,1563
50901,14922
14922,13598
14922,2159
14922,13798
14922,14006
14922,9266
14922,1567
14922,19859
14922,8894
14922,41811
14922,3892
14922,4567
186247,1492
14922,9236
2556,14922
14922,17407
14922,5697
14922,11726
8637,2159
1063,8637
8637,7504
14922,8637
2556,14435
72283,8079
8079,72283
91801,10788
49035,10788
1567,10788
14922,10788
2556,10788
36671,6891
36671,3892
36671,11149
36671,14006
36671,13003
36671,6985
152772,3667
233103,1035
233097,1035
76701,7504
76701,8079
4139,76701
74090,76701
143808,767
50901,76701
76701,7409
4567,76701
36671,76701
76701,4567
8079,76701
76701,14381
76701,4139
26394,26392
1063,26392
82366,7546
7546,1563
7546,3892
7546,22041
7546,414
7546,157
7546,11726
4567,7546
4139,7546
7546,28106
7546,11149
7546,26394
7546,4567
7546,36872
7546,1565
7546,2159
4140,7546
7546,4139
7546,1558
7546,11914
7546,11855
16484,1565
16484,10931
16484,28106
16484,78115
26394,16484
16484,26394
1565,16484
16484,9266
16484,28905
16484,1563
11914,16484
16484,7912
16484,26392
16484,2159
16484,2192
7546,16484
1063,16484
16484,14006
143808,1648
16484,3892
2907,8079
2907,130027
2907,50968
2907,9236
2907,6072
14922,2907
2907,7504
2907,9266
2907,157
2907,158827
2907,52402
2907,177967
2907,17642
2907,41811
4140,2907
2907,13256
169553,2907
2907,3917
2907,2239
2907,61024
2907,17407
2907,414
2907,11855
2907,10005
2907,67072
2556,2907
6072,2907
2907,170892
2907,1565
2907,2556
2907,11914
2907,1563
2907,14183
2907,16372
2907,47243
2821814,291
2907,1063
2907,15347
2907,169553
2907,10788
2907,14922
17805,2907
2907,2192
2907,152772
2907,3892
2907,13395
2907,7912
2907,26392
2907,11149
2907,96349
148568,2556
1570,148568
148568,9236
148568,2639
148568,8894
26394,14857
148568,157
148568,1563
148568,9635
141841,9236
8079,141841
141841,2811
141841,2846
141841,2186
36671,14184
141841,157
141841,1563
20216,14922
20216,10788
20216,4139
20216,3892
20216,7504
20216,157
20216,82366
158864,3775
158864,5995
1063,158864
20216,15886
158864,1001
158864,1191
192828,1589
158864,1326
158864,1563
158864,7912
159663,157
61584,9236
61584,21464
61584,19859
14922,61584
61584,16613
2907,61584
61584,5697
61584,61024
61584,87195
61584,4567
61584,46399
16484,61584
11149,61584
2556,4907
2159,4907
4140,4907
21464,4907
2907,4907
4567,4907
61584,4907
198891,1173
198891,2159
93226,74836
2907,74836
87195,74836
7546,74836
171323,7484
148568,7484
32280,28106
32280,26394
32280,9266
32280,17797
14922,16424
16484,16424
1063,164235
17950,157
17950,45703
17950,5697
17950,96349
17950,9236
17950,6985
17950,11726
17950,11149
17950,5995
17950,78115
17950,10005
166126,8912
8912,166126
3228736,166
2400,4907
3228736,61
3228736,75
3228736,924
3228736,157
3228736,133
2400,13256
2400,5697
2907,322874
3228736,291
2400,78115
2400,2159
3228736,524
2400,74836
2400,87195
2400,134106
2400,233103
2400,414
2400,3892
2400,2239
2400,17642
2400,1558
2400,164235
2400,13395
2907,24
3228736,285
3228736,699
3228736,156
2400,37747
2400,7504
2400,2556
3228736,1
2400,10005
2400,1567
3228736,389
2400,82366
3228736,281
3228736,824
3228736,149
2400,11914
2400,171316
2556,24
3228736,781
2400,61024
2400,10788
2400,14922
2400,11726
2400,37215
3228736,156
2400,9266
3228736,224
2400,1565
2400,166126
3228736,199
2400,14006
2400,198591
2556,322874
3228736,134
3228736,457
2400,96349
2400,1563
2400,5995
3228736,256
2400,52402
2400,11149
2400,2907
3228736,117
3228736,134
3228736,372
2400,6985
2400,45703
3228736,119
3228736,414
3228736,6
2400,28106
2400,157
3228736,748
2400,9236
3228736,491
3228736,157
2400,130027
214276,3775
214276,2556
37747,1015
101502,1589
11914,1015
101502,1191
101502,3687
2556,101502
158864,1015
101502,3775
101502,2556
101502,2639
36382,14922
14922,36382
26394,1317
131701,7546
391,75784
8079,75784
75784,14963
141841,7578
4139,75784
2907,75784
75784,14184
75784,7504
14963,75784
1567,75784
75784,21863
75784,15306
75784,5995
209947,134
7546,48458
2556,87375
87375,1795
123233,1486
148568,1232
2400,123233
2556,123233
123233,157
3228736,123
123233,2556
81599,65228
2907,3063
7546,3063
7588,37747
7588,1563
7588,26392
7588,4148
7588,165669
41223,5995
20216,41223
41223,13256
41223,22041
1567,41223
41223,1563
41223,64595
41223,9266
101502,4122
46399,41223
41223,28464
2400,41223
41223,91801
158856,4122
41223,3892
62413,41223
41223,61024
41223,4567
41223,2239
41223,391
41223,2556
41223,157
41223,28106
41223,1063
141841,4122
17950,41223
14922,41223
171323,4122
28464,41223
41223,4139
41223,96349
41223,1565
41223,14922
3228736,412
41223,20216
186247,4122
41223,75784
41223,414
41223,78115
41223,21863
4140,41223
2907,41223
1570,41223
22390,41223
11914,41223
1063,41223
41223,9236
41223,11914
13256,41223
2821814,412
17805,41223
143808,4122
41223,1567
41223,10005
41223,11726
41223,7504
41223,2159
4139,7418
14922,7418
74180,50968
63284,157
2400,63284
24340,63284
1063,63284
101502,6328
3228736,633
214276,6328
44444,41811
46890,3892
46890,11855
46890,19859
1063,4689
1567,4689
76701,4689
14922,4689
46890,75784
8079,391319
141841,3913
2556,387143
2907,387143
14922,38714
91801,38714
387143,1567
131607,3917
131607,7504
15445,87195
2400,15445
3228736,154
61584,15445
24340,15445
1570,15445
16484,15445
1063,15445
202665,7812
186247,2027
1570,24562
4567,24562
24562,78115
186247,2456
24562,4907
78115,24562
202665,2456
176483,767
176483,2146
21464,17648
63316,74836
63316,24533
63316,41223
2907,63316
63316,10005
63316,14857
63316,67072
63316,17797
63316,34538
63316,13256
63316,7912
63316,4689
63316,157
8079,63316
63316,9266
63316,8079
63316,96349
63316,17132
148568,6332
63316,26394
63316,2159
63316,11855
81599,24644
81599,3461
246444,816
3460987,816
26394,12063
120627,2639
118098,1206
2907,120627
120627,1181
12225,96349
12225,50968
12225,28106
4140,12225
1567,12225
12225,3228
12225,9266
12225,31978
12225,414
12225,2159
12225,19859
32280,12225
12225,6985
12225,1567
12225,10353
12225,157
12225,23362
12225,1558
2907,12225
33018,2556
50901,33018
33018,11855
33018,11726
152772,3302
33018,24533
4140,33018
1570,33018
34538,33018
12225,33018
33018,157
8079,33018
3228736,33
24533,33018
2556,33018
2400,33018
198891,3302
14922,33018
3499027,282
2821814,35
150764,2822
150764,1781
17805,15076
22390,15119
15119,9236
15119,1063
15119,2239
15119,157
15119,1563
4140,15119
1063,15119
148568,1512
15119,38714
15119,414
22390,71628
2556,71628
30355,17131
4139,30355
2556,30355
41223,30355
14922,30355
171312,3036
30355,16955
1570,30355
3228736,304
9236,30355
1063,30355
169553,3036
1567,30355
2400,30355
4140,30355
41223,2354
11914,2354
2821814,235
1570,2354
23540,9266
198891,2354
23540,1563
23540,15445
23540,63284
101502,2354
23540,5995
17805,2354
2556,2354
4140,2354
8103,94851
94851,1567
198591,9485
94851,16372
91801,94851
11914,94851
21464,94851
2400,94851
4140,94851
16372,94851
25253,94851
32280,94851
12225,94851
1567,94851
387143,9485
36671,94851
11149,14201
14201,5995
3228736,142
14201,15347
2400,14201
120819,7546
120819,157
120819,3892
120819,2556
120819,1401
120819,7812
120819,9266
120819,3036
120819,2639
120819,8912
141908,8237
141908,1567
1567,141908
82366,14191
141908,1063
23594,17079
41916,28464
41916,11149
41916,13256
41916,7504
41916,96349
41916,1563
11914,41916
41916,414
41916,3892
41916,16424
41916,10005
41916,63284
41916,52402
41916,157
41916,9236
41916,1565
41916,2159
41916,11914
164235,4192
41916,2331
74180,6542
6542,14922
6542,170892
6542,33018
61584,6542
63316,6542
6542,2354
2907,6542
6542,1563
1409312,16
9023,28464
9023,177967
9023,28106
9023,10507
2907,9023
9023,10005
9023,9236
9023,2192
9023,74836
9023,3892
41223,9023
9023,5995
9023,3063
9023,41223
9023,62413
9023,13256
9023,11855
62413,9023
9023,157
178356,6241
178356,2192
62413,17836
178356,2846
164223,1563
164223,2556
164223,4122
164223,3892
166918,1173
166918,2239
17898,78115
17898,12082
17898,2576
17898,1563
17898,11149
17898,4907
17898,9266
17898,22041
17898,3892
17898,2556
17898,157
82907,26392
82907,32287
82907,63284
82907,7504
82907,1565
2400,82907
82907,87195
24340,82907
15445,82907
82907,36872
1063,82907
82907,1563
1565,82907
82907,9236
3228736,829
82907,6324
82907,2556
82907,61024
23540,82907
61584,82907
82907,2159
82907,24
82907,3892
82907,2354
82907,16613
82907,37747
82907,28106
82907,52402
82907,50968
82907,15445
82907,9266
82907,15886
82907,19889
1570,82907
198891,8291
82907,157
82907,5995
52077,28106
8079,52077
5816,69392
5816,11855
5816,157
152772,6887
111065,4567
198591,6546
27267,5995
27267,9236
27267,3892
27267,63284
27267,1563
27267,10005
27267,11726
27267,157
233097,323
152772,323
8079,322991
160818,1115
160818,6985
391,48903
48903,391
2400,48903
48903,32287
48903,24
3228736,489
196040,9236
2907,19604
143808,7032
69392,42712
34638,87195
34638,81599
34638,15382
34638,15445
34638,2556
34638,28905
34638,4689
34638,1563
23540,34638
34638,24533
34638,1565
34638,1567
34638,11855
34638,2354
11914,34638
34638,9236
82907,34638
34638,4567
34638,9266
34638,96349
34638,10005
34638,414
33018,34638
34638,11149
34638,45703
34638,33018
34638,13256
1570,34638
34638,2331
34638,3892
34638,4907
34638,17642
34638,63284
34638,7912
34627,5995
42459,61024
171318,3036
171318,157
171318,2186
171318,1696
169553,1713
171318,1563
36528,96349
150764,3653
17805,36528
3499027,365
36528,15076
2821814,365
36528,3499
36528,28218
36528,17805
41455,41223
41455,2192
41455,17836
41455,28464
41455,62413
62413,41455
41455,33018
20628,74836
20628,1563
20628,46399
20628,157
20628,5697
20628,36872
20628,31258
20628,17805
20628,13395
20628,16424
2907,20628
20628,7912
20628,28218
20628,37747
20628,96349
20628,15119
20628,14201
20628,9266
20628,10005
20628,19859
20628,4679
6072,20628
20628,5995
20628,7418
20628,11855
20628,6072
20628,414
20628,1565
20628,21464
20628,52402
20628,2239
20628,26394
20628,4567
20628,2192
20628,21863
20628,1558
20628,2907
20628,1063
20628,21428
20628,9236
20628,67072
20628,11726
20628,13256
20628,3892
20628,87375
20628,47106
20628,1567
20628,61024
20628,41223
17470,4907
36671,7127
7127,202665
7127,36671
7127,8912
7127,64595
123859,6542
123859,1563
91551,1565
91551,2556
91551,9236
91551,157
20628,91551
2907,148828
36671,21001
7127,210012
210012,4134
4134,210012
2582,28106
2582,13395
2582,10005
2582,9266
2582,6324
2582,3892
2582,414
2582,7504
2582,157
2582,2556
2582,9236
2582,2576
2582,1565
2582,1063
2582,5995
2582,7912
2582,52402
2582,78115
20628,57716
120819,5772
164253,8237
164253,1589
141908,1643
164253,1565
164253,1419
253969,7504
34589,157
34589,13256
34589,2556
34589,5995
34589,1563
34589,1063
34589,3892
148568,1296
166163,4139
3228736,166
166163,4907
166163,157
2400,166163
166163,1015
166163,1191
166163,1558
166163,414
18337,28464
18337,5995
18337,20995
20628,26395
26395,11855
9023,26395
26395,12959
26395,37747
26395,157
129594,264
14922,26395
26395,2556
2907,26395
26395,13395
34638,26395
41223,26395
26395,1565
16484,26395
7127,26395
2400,26395
59216,94851
26394,59216
17898,59216
59216,9266
120819,5922
63316,59216
59216,3892
16484,59216
61584,59216
2556,59216
59216,17898
59216,1063
59216,26394
96349,59216
59216,52077
59216,23362
1567,59216
78115,59216
59216,3917
12225,59216
52077,59216
4140,59216
59216,78115
59216,28106
198961,2811
198961,5922
198961,3892
198961,9635
68847,15076
2821814,688
17805,68847
36528,68847
68847,3499
68847,17805
68847,28218
150764,6885
3499027,688
68847,36528
158856,3914
2159,3914
3914,158856
44269,26395
167899,1063
8912,364668
350,6072
6072,35
350,176616
350,33018
350,3914
350,134106
2582,34902
141841,7636
18760,11149
32280,1876
36671,1876
18760,36671
18760,3228
18760,49035
120627,5048
2556,50484
2907,50484
167899,5048
14922,50484
365080,4139
41916,5823
1063,5823
46890,5823
166918,5823
5823,41811
148568,5823
74180,5823
63316,5823
7546,5823
5823,7418
42459,5823
2556,5823
2907,5823
3228736,582
190921,5823
2582,5823
14284,54229
14284,26394
59216,14284
14284,78115
54229,14284
14284,96349
26394,14284
14284,23362
14284,61584
14284,12225
14284,9266
14284,3892
9023,14284
14284,11726
14284,20628
14284,17898
78115,14284
14284,26392
14284,21428
17898,14284
14284,59216
20628,14284
2556,14284
14922,14284
14284,14922
14284,19176
14284,2907
14284,10931
14284,9023
2907,14284
191755,1428
14284,2556
14284,16484
16484,14284
14284,1563
12225,14284
96349,14284
41223,14284
164697,1326
164697,1563
164697,157
2907,28405
93226,28405
158856,2285
1570,22848
278329,2285
196062,9236
28121,52402
2582,28121
102510,157
102510,3302
102510,1001
102510,3892
102510,9635
102510,4122
75784,34539
41223,34539
2556,34539
34539,15445
9023,34539
34539,45703
34539,30355
34539,9023
34539,11914
34539,17642
34539,414
158864,3454
63316,34539
34539,52402
34539,14284
34539,2354
34539,157
166163,3454
34638,34539
34539,41223
34539,63284
34539,26395
34539,75784
143808,3454
34539,78115
82907,34539
34539,16955
214276,3454
34539,10005
233097,3454
34539,4907
34539,4567
34539,34638
34539,2556
169553,3454
1570,34539
34539,16616
63114,5823
5823,63114
74180,63114
63114,6324
63114,7418
185568,1512
15119,18557
185568,1568
15119,7936
177350,1528
34575,14201
34575,96349
34575,3892
34575,1063
14201,34575
34575,5697
34575,11855
34575,13395
15347,34575
34575,15347
34575,4567
34575,5995
34575,7912
13718,9236
13718,11855
13718,2556
13718,1563
13718,157
13718,1565
15347,15883
158834,5995
158834,1535
24553,2556
11149,24553
24553,2159
24553,11726
24553,5995
24553,11149
24553,41223
24553,2239
24553,14201
20628,24553
2556,24553
24553,10005
24553,23362
15347,24553
24553,9266
24553,1563
14922,5957
4140,5957
24553,5957
35398,7504
16499,28106
16499,20628
16499,10005
16499,36872
16499,13395
16499,5995
16499,9266
16499,157
1565,16499
26394,16499
16499,1063
16499,2556
16499,3892
16499,2159
16499,5697
16499,11149
16499,26394
16499,41223
16499,1567
16499,15347
16499,1565
14284,16499
34575,16499
16499,1563
16499,22041
16499,15445
16499,4567
47152,16499
16499,9236
16499,14184
1063,16499
16499,26395
16499,11855
16499,16484
16499,96349
16499,11726
16499,26392
16499,14284
12225,1564
3228736,156
4140,1564
2159,1564
1564,157
169553,1564
13256,1564
63316,1564
14922,1564
4139,1564
198591,1564
141841,1564
2582,1564
34638,1564
16499,1564
9236,1564
2556,1564
28328,1564
11149,1564
41223,1564
16484,1564
1564,5995
278329,1564
41916,1564
1564,9266
1564,1567
1564,1565
1567,1564
1564,10005
1564,1558
1564,11149
1564,391
1564,278329
152896,1564
2821814,156
1564,9236
1570,1564
52422,1564
1564,23362
12549692,16
1564,28106
1564,322874
1564,414
1564,28464
1564,2556
1564,30355
14963,1564
1564,24
1564,11855
1564,11914
28106,1564
17805,1564
1564,198591
1564,1563
1564,169553
1564,13256
1564,14922
2400,1564
1563,1564
1564,16484
1564,65463
1564,61024
34539,1564
1564,50968
91551,1564
7546,1564
1564,12225
9023,1564
1564,94851
1565,1564
1564,59216
3228736,322
45703,32206
2556,32206
2582,32206
32280,32206
34638,32206
2400,32206
32206,15306
32206,24
2907,32206
1570,32206
87375,32206
64920,78115
165938,5823
165938,1079
180219,5097
180219,1565
180219,5823
2436627,206
176395,2063
20628,24366
20628,1764
33271,78115
33271,24562
33271,31978
186247,3327
33271,18625
33271,17642
78115,33271
33271,96349
33271,4567
1570,35886
4140,35886
158856,3589
143808,1819
18190,3892
18190,9236
186247,1819
18190,11914
47106,1819
18190,14922
14922,1819
350,82381
82381,14381
143808,8238
110516,3892
110516,1173
110516,5823
98816,4567
164744,1862
164744,7812
164744,3327
164744,2456
164744,7912
4567,164744
186247,1647
164744,4122
164744,4567
5784,6072
5784,46399
46399,5784
67072,5784
6072,5784
192828,5784
5784,67072
63042,9236
63042,157
171678,3036
1570,171678
171678,157
171312,1717
171678,1713
30489,9236
30489,26394
26394,30489
34539,7675
76701,7675
7675,143808
14922,7675
143808,7675
7675,76701
14963,7675
2556,7675
27267,7675
171324,1563
171324,157
171324,9635
171969,391
171969,2556
171969,1001
171969,1326
171969,3036
171969,7675
171969,1015
171969,157
171318,172
171969,1713
14922,17197
53770,3892
37207,4139
37207,7912
14922,37207
37207,14191
37207,391
1570,37207
37207,1564
34575,37207
37207,2239
22390,37207
37207,11914
37207,13256
2821814,372
141908,3721
17805,37207
1564,37207
2907,37207
37207,12225
37207,28218
37207,9236
37207,157
37207,1563
1567,37207
37207,28106
20628,37207
37207,414
12225,37207
37207,10005
37207,37215
37207,1063
7546,37207
41223,37207
4140,37207
2556,37207
37207,1567
37207,2556
37207,28405
37207,17805
6582,36528
1063,6582
214276,6582
24553,6582
36528,6582
14284,35682
63316,34655
34655,1567
34655,61024
34655,34902
34655,23362
26394,34655
34655,35682
34655,414
1567,34655
34655,28218
34655,9266
12225,34655
34655,17648
34655,14284
20628,34655
34655,20216
2556,34655
34655,1565
34655,17805
14284,34655
34655,5957
34655,94851
34655,12225
34655,59216
19804,7912
7127,19804
19804,7127
19804,1063
19804,26395
19804,30355
19804,1565
19804,9236
19804,4139
19804,4567
19804,5995
19804,1563
17797,17805
17797,15347
17797,1564
17797,28905
17797,15382
17797,52402
17797,1565
17797,9236
17797,46399
17797,28218
17797,1063
17797,157
17797,37207
17950,17797
17797,10005
17797,5995
17797,11855
17797,64595
17797,13256
17797,1795
17797,36872
14284,17797
17797,2556
17797,8912
17797,14284
17797,78115
17797,96349
17797,41223
171337,1173
171337,142
171337,3049
171337,3133
171337,9236
171337,157
171337,1535
30489,17134
171337,1713
171337,13
171337,2556
171337,1708
61030,33018
50901,6103
61030,7504
113513,1986
113513,457
47106,11351
113513,6985
113513,2186
113513,464
113513,157
113513,2639
113513,9236
113513,1563
113513,4711
137573,4139
209336,35
253416,524
253416,3036
253416,8738
11914,2812
2907,2812
2812,11914
2812,45703
2812,2582
2812,33018
2812,2907
2812,6103
2812,1565
2812,10005
2812,3892
2812,4567
2812,61024
4567,2812
2582,2812
180178,1565
10886,2556
10886,2907
2907,10886
10886,157
10886,5995
24340,10886
14284,10886
10674,2239
10674,11149
10674,28106
3228736,107
10674,4567
10674,13395
10674,11855
171323,1067
10674,45703
10674,9023
10674,52402
2400,10674
10674,10005
10674,1563
10674,33018
10674,24
10674,17132
10674,7912
20628,10674
10674,63284
10674,3892
209336,1067
9023,10674
22390,10674
45703,10674
10674,20934
10674,17898
10674,21863
1567,23353
164601,1642
158822,1063
158822,5995
158822,2556
13611,10005
13611,1063
120378,1662
120378,9236
120378,172
120378,4122
120378,457
166163,1204
16499,96044
96044,13395
96044,78115
20216,36378
4140,11957
12225,11957
11957,1015
11957,4567
1570,11957
36382,11957
11914,11957
20216,11957
11957,157
1564,11957
101502,1196
11957,11914
11957,34638
11957,1564
14284,11957
11957,1563
61024,11957
11957,9236
7588,11885
171314,157
171314,1642
41916,17131
171314,4192
164235,1713
34638,11883
2907,11883
14201,86944
86944,14201
86944,2556
86944,3892
86944,1563
86944,5995
86944,24553
40002,50484
171313,157
63316,17131
171313,6332
1570,171313
171313,3454
171313,1563
171313,1326
171313,1035
8940,233103
10674,894
36671,894
8940,3892
2907,36661
7547,125497
152772,7547
1570,7547
7547,50968
7547,4139
7547,23021
7547,9266
7547,30355
7547,75784
7547,10005
7547,82907
14284,7547
7547,157
7547,94851
7546,7547
7547,37747
7547,158856
152896,7547
9023,7547
7547,4567
7547,152896
12225,7547
1564,7547
7547,12225
7547,6324
7547,153818
36872,7547
158856,7547
41223,7547
7547,28106
2400,7547
7547,1564
7547,14284
2821814,755
7547,1567
2907,7547
7547,3914
7547,21863
1567,7547
7547,9236
7547,96349
41916,7547
12549692,75
7547,198591
2159,7547
7547,37207
7547,7912
34539,7547
37207,7547
7547,1563
7547,36872
7547,59216
16499,7547
7547,34539
7547,3892
3228736,755
7547,1565
82907,7547
17805,7547
14922,7547
7547,2159
7547,5995
7547,2556
59461,61024
69958,33018
69958,5995
69958,5823
69958,13395
160818,6996
69958,5697
52840,5823
148017,4139
7546,148017
148017,7546
164744,1986
78115,19858
198576,7812
198576,4567
198576,2456
198576,1647
20628,53451
17738,4567
33271,17738
17738,2556
78115,17738
186247,1774
78115,19395
193954,7812
9918,157
9918,414
9918,3892
9918,11855
9918,1558
9918,52402
9918,96349
9918,26395
9918,17898
9918,9236
9918,2239
9918,10005
2907,9918
9918,28905
9918,33018
17898,50653
120378,5065
7547,50653
12225,50653
50653,2812
2907,50653
1567,50653
3228736,507
2812,50653
1570,50653
2400,50653
50653,391
181357,2455
24553,18136
20628,18136
181357,1063
181357,6102
17797,18136
2400,6821
6821,45703
6821,10005
1570,6821
2907,6821
6821,17642
171323,6821
6821,61024
32206,6821
6821,11883
6821,7504
6821,78115
6821,157
6821,11855
6821,32206
6821,2576
6821,1564
5995,6821
2812,6821
